Y,N,K,L,prod,year
40697.984375,11.618923138933,202582.5625,3.34537410736084,,1950
41317.53125,11.9931438164553,210150.328125,3.40878391265869,,1951
44301.77734375,12.3798220110526,222521.71875,3.47339558601379,,1952
48209.01953125,12.779607746636,236846.0625,3.53923201560974,,1953
52677.375,13.1929617754485,256982.078125,3.6063163280487105,0.590334475040436,1954
54317.0390625,13.620366835836,276640.375,3.6779327392578094,0.564997673034668,1955
55409.0703125,14.0623200049071,296358.46875,3.7567055225372306,0.547524452209473,1956
55192.71484375,14.5200668431856,302227.0625,3.8371651172637904,0.525126338005066,1957
55247.03515625,14.9934610952917,304814.5,3.91934776306152,0.517539739608765,1958
58292.30859375,15.4830629288899,321611.9375,4.00329113006592,0.522126019001007,1959
61454.390625,15.9902507770391,342670.65625,4.09365797042847,0.529505789279938,1960
65321.6328125,16.5148783843592,364123.53125,4.1988959312439,0.545860648155212,1961
68612.109375,17.0498958591661,384377.65625,4.30683946609497,0.549519538879395,1962
70565.15625,17.587287833084,398937.40625,4.417557716369631,0.541085660457611,1963
76194.4453125,18.1325508318326,421796.59375,4.53112268447876,0.547970592975616,1964
76241.890625,18.6900342801122,435952.9375,4.65516233444214,0.524195969104767,1965
80481.2890625,19.246898293841,449999.21875,4.816287517547609,0.524486005306244,1966
83766.5546875,19.8105149089064,470384.6875,4.98298931121826,0.527435123920441,1967
89227.09375,20.3694647346563,495218.09375,5.15546035766602,0.529312908649445,1968
94971.4453125,20.9182283033503,518482.84375,5.333902359008791,0.54174816608429,1969
102590.53125,21.480065,547306.625,5.53469944000244,0.566284239292145,1970
113404.53125,22.00398,575687.6875,5.71786546707153,0.596244335174561,1971
124292.921875,22.516425,585988.5,5.90709257125854,0.624895870685577,1972
137262.0625,23.024517,588945.4375,6.10258197784424,0.665232539176941,1973
149353.84375,23.538386,595281.9375,6.304542541503911,0.742242336273193,1974
158509.21875,24.065507,601894.3125,6.656195163726809,0.768877804279327,1975
168650.5625,24.608113,602769.9375,6.87552547454834,0.791647255420685,1976
176841.484375,25.164545,600735.5625,7.1956615447998,0.810884892940521,1977
189846.125,25.733673,601477.75,7.399928569793699,0.853592693805695,1978
196734.546875,26.312994,608370.125,7.61825466156006,0.8639235496521,1979
207268.734375,26.900506,625402.625,7.78116416931152,0.895889282226563,1980
208584.875,27.496617,658161.8125,8.13797092437744,0.853185057640076,1981
210563.578125,28.101819,690450.625,8.28090858459473,0.839252293109894,1982
209927.140625,28.71419,715135.5,8.293473243713379,0.798462867736816,1983
213511.734375,29.331238,742847.5,8.37685966491699,0.77099734544754,1984
214395.15625,29.951201,766954.25,8.60632228851318,0.740763425827026,1985
227804.078125,30.572478,793039.75,8.9241418838501,0.744428932666779,1986
229374.25,31.195413,816996.125,9.39193058013916,0.715913951396942,1987
236960.59375,31.822525,854181.4375,9.74868011474609,0.702657878398895,1988
242597.3125,32.457499,884966.625,10.2207546234131,0.689082682132721,1989
253494.078125,33.102575,908843.4375,10.5054531097412,0.698848426342011,1990
253152.9375,33.758337,936741.875,11.1938276290894,0.673895180225372,1991
267655.4375,34.422569,970185.6875,11.3390913009644,0.677320420742035,1992
284546.34375,35.091275,1025628.125,12.0534296035767,0.674234747886658,1993
299125.1875,35.758979,1083207.75,12.5207490921021,0.667186737060547,1994
312181.65625,36.421438,1133446.375,13.0954647064209,0.662360727787018,1995
312702.375,37.076387,1179042.125,13.300181388855,0.637676894664764,1996
318688.59375,37.7238,1224316.625,13.5767021179199,0.621156513690948,1997
310948.5,38.364309,1262855.125,13.5996885299683,0.579923748970032,1998
295168.09375,38.999471,1261794.625,13.3980207443237,0.542540907859802,1999
304057.375,39.629968,1260394.0,14.2371225357056,0.53364223241806,2000
305290.3125,40.255967,1280824.625,14.3336696624756,0.528021633625031,2001
311238.8125,40.87536,1309878.0,14.6815271377563,0.509410560131073,2002
321698.625,41.483869,1347695.375,15.2463006973267,0.505368649959564,2003
337618.78125,42.075955,1402303.125,15.8290672302246,0.504904687404633,2004
362732.375,42.647723,1462050.25,16.4764575958252,0.511063039302826,2005
395723.25,43.200897,1538829.0,17.0571823120117,0.52573424577713,2006
435136.3125,43.737516,1637334.875,17.972843170166,0.54201751947403,2007
477655.0,44.254975,1727397.25,18.2545547485352,0.570149183273315,2008
487634.875,44.750054,1808669.375,18.4297657012939,0.566193997859955,2009
534430.6875,45.2227,1894346.0,18.8913440704346,0.587488174438477,2010
599757.375,45.662748,1986112.375,19.4976940155029,0.635283589363098,2011
619333.5625,46.075718,1976564.125,19.9761848449707,0.649233162403107,2012
629133.25,46.495493,1988578.75,20.3189544677734,0.657325923442841,2013
649882.5,46.967696,2030563.375,20.3993816375732,0.656546294689178,2014
651871.4375,47.520667,2056294.0,21.1043548583984,0.630106627941132,2015
648851.125,48.175052,2056220.0,21.1867847442627,0.624307155609131,2016
656700.5625,48.909839,2056162.75,21.2779293060303,0.626146137714386,2017
684661.9375,49.661048,2122432.5,21.3982315063477,0.633482456207275,2018
706174.3125,50.339443,2194572.5,21.1996078491211,0.638708174228668,2019
