VariableCode,RegionCode,YearCode,AggValue
rgdpe,COL,1950,40330.34375000000000000
rgdpo,COL,1950,40504.57421875000000000
pop,COL,1950,11.61892313893300000
emp,COL,1950,3.34537410736084000
avh,COL,1950,2323.00000000000000000
hc,COL,1950,1.44564461708069000
rgdpna,COL,1950,42417.15234375000000000
rconna,COL,1950,38158.25390625000000000
rdana,COL,1950,43555.58203125000000000
rnna,COL,1950,139202.54687500000000000
labsh,COL,1950,0.47573736310005200
irr,COL,1950,0.22731684148311600
delta,COL,1950,0.03324911370873450
xr,COL,1950,1.94982409725651000
pl_con,COL,1950,0.14903694391250600
pl_da,COL,1950,0.14033433794975300
pl_gdpo,COL,1950,0.14093181490898100
i_cig,COL,1950,0.00000000000000000
i_xm,COL,1950,0.00000000000000000
i_xr,COL,1950,0.00000000000000000
i_outlier,COL,1950,0.00000000000000000
i_irr,COL,1950,0.00000000000000000
pl_c,COL,1950,0.15154567360878000
pl_i,COL,1950,0.11301073431968700
pl_g,COL,1950,0.11721891164779700
pl_x,COL,1950,0.10395828634500500
pl_m,COL,1950,0.09939620643854140
pl_n,COL,1950,0.05404579639434810
rgdpe,COL,1951,40467.48437500000000000
rgdpo,COL,1951,41120.39453125000000000
pop,COL,1951,11.99314381645530000
emp,COL,1951,3.40878391265869000
avh,COL,1951,2312.28010765650000000
hc,COL,1951,1.45910418033600000
rgdpna,COL,1951,43415.05468750000000000
rconna,COL,1951,38566.42578125000000000
rdana,COL,1951,43566.82031250000000000
rnna,COL,1951,147452.93750000000000000
labsh,COL,1951,0.47573736310005200
irr,COL,1951,0.23004655539989500
delta,COL,1951,0.03293224424123760
xr,COL,1951,2.40055275269221000
pl_con,COL,1951,0.13857197761535600
pl_da,COL,1951,0.12820824980735800
pl_gdpo,COL,1951,0.12799949944019300
i_cig,COL,1951,0.00000000000000000
i_xm,COL,1951,0.00000000000000000
i_xr,COL,1951,0.00000000000000000
i_outlier,COL,1951,0.00000000000000000
i_irr,COL,1951,0.00000000000000000
pl_c,COL,1951,0.14203816652298000
pl_i,COL,1951,0.09502940624952320
pl_g,COL,1951,0.10016123950481400
pl_x,COL,1951,0.10416460782289500
pl_m,COL,1951,0.10659951716661500
pl_n,COL,1951,0.04700265452265740
rgdpe,COL,1952,43131.30859375000000000
rgdpo,COL,1952,43874.55859375000000000
pop,COL,1952,12.37982201105260000
emp,COL,1952,3.47339558601379000
avh,COL,1952,2301.60968414289000000
hc,COL,1952,1.47268915176392000
rgdpna,COL,1952,46287.62890625000000000
rconna,COL,1952,41234.62500000000000000
rdana,COL,1952,46535.15234375000000000
rnna,COL,1952,156117.34375000000000000
labsh,COL,1952,0.47573736310005200
irr,COL,1952,0.22614753246307400
delta,COL,1952,0.03276959434151650
xr,COL,1952,2.51048636756311000
pl_con,COL,1952,0.13346441090107000
pl_da,COL,1952,0.12375191599130600
pl_gdpo,COL,1952,0.12340370565652800
i_cig,COL,1952,0.00000000000000000
i_xm,COL,1952,0.00000000000000000
i_xr,COL,1952,0.00000000000000000
i_outlier,COL,1952,0.00000000000000000
i_irr,COL,1952,0.00000000000000000
pl_c,COL,1952,0.13659037649631500
pl_i,COL,1952,0.09288576990365980
pl_g,COL,1952,0.09915734827518460
pl_x,COL,1952,0.10503501445055000
pl_m,COL,1952,0.10954029113054300
pl_n,COL,1952,0.04646293446421620
rgdpe,COL,1953,47296.17968750000000000
rgdpo,COL,1953,47642.88281250000000000
pop,COL,1953,12.77960774663600000
emp,COL,1953,3.53923201560974000
avh,COL,1953,2290.98850117656000000
hc,COL,1953,1.48640060424805000
rgdpna,COL,1953,49921.70703125000000000
rconna,COL,1953,44024.05859375000000000
rdana,COL,1953,50414.64062500000000000
rnna,COL,1953,166643.42187500000000000
labsh,COL,1953,0.47573736310005200
irr,COL,1953,0.25120097398757900
delta,COL,1953,0.03293573483824730
xr,COL,1953,2.51048636756311000
pl_con,COL,1953,0.13832204043865200
pl_da,COL,1953,0.12570689618587500
pl_gdpo,COL,1953,0.12622903287410700
i_cig,COL,1953,0.00000000000000000
i_xm,COL,1953,0.00000000000000000
i_xr,COL,1953,0.00000000000000000
i_outlier,COL,1953,0.00000000000000000
i_irr,COL,1953,3.00000000000000000
pl_c,COL,1953,0.14219219982624100
pl_i,COL,1953,0.08829968422651290
pl_g,COL,1953,0.10133343189954800
pl_x,COL,1953,0.11666562408208800
pl_m,COL,1953,0.11162007600069000
pl_n,COL,1953,0.04435248672962190
rgdpe,COL,1954,52428.77343750000000000
rgdpo,COL,1954,52188.18750000000000000
pop,COL,1954,13.19296177544850000
emp,COL,1954,3.60631632804871000
avh,COL,1954,2280.41633152834000000
hc,COL,1954,1.50023972988129000
rgdpna,COL,1954,53759.39453125000000000
rconna,COL,1954,47525.00000000000000000
rdana,COL,1954,55749.04687500000000000
rnna,COL,1954,180466.35937500000000000
rkna,COL,1954,0.06983539462089540
rtfpna,COL,1954,0.92753911018371600
rwtfpna,COL,1954,0.92551267147064200
labsh,COL,1954,0.47573736310005200
irr,COL,1954,0.25946816802024800
rdana,COL,1968,96352.57812500000000000
rnna,COL,1968,350059.18750000000000000
rkna,COL,1968,0.13263182342052500
rtfpna,COL,1968,0.97079026699066200
rwtfpna,COL,1968,0.93792760372161900
labsh,COL,1968,0.47573736310005200
irr,COL,1968,0.14144612848758700
delta,COL,1968,0.02841006778180600
xr,COL,1968,16.29067041565260000
pl_con,COL,1968,0.09532896429300310
pl_da,COL,1968,0.09679205715656280
pl_gdpo,COL,1968,0.09513457119464870
i_cig,COL,1968,0.00000000000000000
i_xm,COL,1968,0.00000000000000000
i_xr,COL,1968,0.00000000000000000
i_outlier,COL,1968,0.00000000000000000
i_irr,COL,1968,0.00000000000000000
pl_c,COL,1968,0.09757956117391590
pl_i,COL,1968,0.10179699957370800
pl_g,COL,1968,0.07319657504558560
pl_x,COL,1968,0.11165915429592100
pl_m,COL,1968,0.15512974560260800
pl_n,COL,1968,0.04809595644474030
pl_k,COL,1968,0.63146382570266700
rgdpe,COL,1969,93764.58593750000000000
rgdpo,COL,1969,96192.74218750000000000
pop,COL,1969,20.91822830335030000
emp,COL,1969,5.33390235900879000
avh,COL,1969,2174.75287998948000000
hc,COL,1969,1.67375075817108000
rgdpna,COL,1969,102273.13281250000000000
rconna,COL,1969,92821.74218750000000000
rdana,COL,1969,102695.36718750000000000
rnna,COL,1969,367610.34375000000000000
rkna,COL,1969,0.13936583697795900
rtfpna,COL,1969,0.99001598358154300
rwtfpna,COL,1969,0.95652997493743900
labsh,COL,1969,0.47573736310005200
irr,COL,1969,0.14290092885494200
delta,COL,1969,0.02841143868863580
xr,COL,1969,17.32014086068970000
pl_con,COL,1969,0.09666007757186890
pl_da,COL,1969,0.09813524782657620
pl_gdpo,COL,1969,0.09663148224353790
i_cig,COL,1969,0.00000000000000000
i_xm,COL,1969,0.00000000000000000
i_xr,COL,1969,0.00000000000000000
i_outlier,COL,1969,0.00000000000000000
i_irr,COL,1969,0.00000000000000000
pl_c,COL,1969,0.09893602877855300
pl_i,COL,1969,0.10339240729808800
pl_g,COL,1969,0.07479593157768250
pl_x,COL,1969,0.12015184760093700
pl_m,COL,1969,0.16272364556789400
pl_n,COL,1969,0.04923344030976300
pl_k,COL,1969,0.64645165205001800
rgdpe,COL,1980,206952.79687500000000000
rgdpo,COL,1980,209897.56250000000000000
pop,COL,1980,26.90050600000000000
emp,COL,1980,7.78116416931152000
avh,COL,1980,2074.00000000000000000
hc,COL,1980,1.78876197338104000
rgdpna,COL,1980,187132.46875000000000000
rconna,COL,1980,172455.25000000000000000
rdana,COL,1980,191892.26562500000000000
rnna,COL,1980,627972.62500000000000000
rkna,COL,1980,0.25275519490242000
rtfpna,COL,1980,1.09782826900482000
rwtfpna,COL,1980,1.08320283889771000
labsh,COL,1980,0.47573736310005200
irr,COL,1980,0.13592833280563400
delta,COL,1980,0.03118121251463890
xr,COL,1980,47.28030833241670000
pl_con,COL,1980,0.21404437720775600
pl_da,COL,1980,0.22634314000606500
pl_gdpo,COL,1980,0.22627142071723900
i_cig,COL,1980,1.00000000000000000
i_xm,COL,1980,0.00000000000000000
i_xr,COL,1980,0.00000000000000000
i_outlier,COL,1980,0.00000000000000000
i_irr,COL,1980,0.00000000000000000
cor_exp,COL,1980,0.49700311924650700
pl_c,COL,1980,0.21879228949546800
pl_i,COL,1980,0.27719897031784100
pl_g,COL,1980,0.17597624659538300
pl_x,COL,1980,0.36793199181556700
pl_m,COL,1980,0.33737313747406000
pl_n,COL,1980,0.20506083965301500
pl_k,COL,1980,1.32133841514587000
rgdpe,COL,1981,205857.50000000000000000
rgdpo,COL,1981,211147.56250000000000000
pop,COL,1981,27.49661700000000000
emp,COL,1981,8.13797092437744000
avh,COL,1981,2063.22314575255000000
hc,COL,1981,1.80154001712799000
rgdpna,COL,1981,191393.23437500000000000
rconna,COL,1981,177608.14062500000000000
rdana,COL,1981,202233.10937500000000000
rnna,COL,1981,659803.87500000000000000
rkna,COL,1981,0.26740038394928000
rtfpna,COL,1981,1.06617796421051000
rwtfpna,COL,1981,1.08398294448853000
labsh,COL,1981,0.47573736310005200
irr,COL,1981,0.12793445587158200
delta,COL,1981,0.03157767280936240
xr,COL,1981,54.49054999900000000
pl_con,COL,1981,0.23642568290233600
pl_da,COL,1981,0.24767403304576900
pl_gdpo,COL,1981,0.24500805139541600
i_cig,COL,1981,2.00000000000000000
i_xm,COL,1981,0.00000000000000000
i_xr,COL,1981,0.00000000000000000
i_outlier,COL,1981,0.00000000000000000
i_irr,COL,1981,0.00000000000000000
pl_c,COL,1981,0.24070887267589600
pl_i,COL,1981,0.28959500789642300
pl_g,COL,1981,0.20098672807216600
pl_x,COL,1981,0.34429356455802900
pl_m,COL,1981,0.34356459975242600
pl_n,COL,1981,0.22128449380397800
pl_k,COL,1981,1.20848679542542000
rgdpe,COL,1982,207584.93750000000000000
rgdpo,COL,1982,212126.34375000000000000
pop,COL,1982,28.10181900000000000
emp,COL,1982,8.28090858459473000
avh,COL,1982,2052.50228985972000000
hc,COL,1982,1.81440949440002000
delta,COL,1954,0.03334444016218190
xr,COL,1954,2.51048636756311000
pl_con,COL,1954,0.15111641585826900
pl_da,COL,1954,0.13557602465152700
pl_gdpo,COL,1954,0.13759839534759500
i_cig,COL,1954,0.00000000000000000
i_xm,COL,1954,0.00000000000000000
i_xr,COL,1954,0.00000000000000000
i_outlier,COL,1954,0.00000000000000000
i_irr,COL,1954,3.00000000000000000
